,ts_code,trade_date,turnover_rate,volume_ratio,pe,pb
0,600196.SH,20200331,3.0129,0.64,25.3542,2.641
1,600196.SH,20200330,3.9835,0.91,31.5166,2.786
2,600196.SH,20200327,5.5406,1.42,30.9014,2.7316
3,600196.SH,20200326,5.1843,1.38,32.1791,2.8445
4,600196.SH,20200325,4.3941,1.08,29.2546,2.586
5,600196.SH,20200324,4.4057,1.07,28.7057,2.5375
6,600196.SH,20200323,2.4735,0.58,26.4342,2.3367
7,600196.SH,20200320,2.9906,0.75,27.9769,2.4731
8,600196.SH,20200319,4.51,1.36,28.2514,2.4973
9,600196.SH,20200318,5.8779,2.45,27.0872,2.3944
10,600196.SH,20200317,4.7247,2.59,27.6362,2.4429
11,600196.SH,20200316,3.3142,2.18,25.5161,2.2555
12,600196.SH,20200313,1.4554,0.95,24.7022,2.1836
13,600196.SH,20200312,1.1504,0.7,25.166,2.2246
14,600196.SH,20200311,1.3319,0.75,25.9231,2.2915
15,600196.SH,20200310,1.8735,1.09,26.472,2.34
16,600196.SH,20200309,1.7869,1.07,26.3869,2.3325
17,600196.SH,20200306,1.523,0.87,26.9358,2.381
18,600196.SH,20200305,1.7578,1.0,27.144,2.3994
19,600196.SH,20200304,1.9878,0.97,26.9926,2.3861
20,600196.SH,20200303,1.5562,0.55,26.2449,2.32
21,600196.SH,20200302,1.4959,0.53,26.1219,2.3091
22,600196.SH,20200228,1.9528,0.72,25.4404,2.2489
23,600196.SH,20200227,1.7667,0.69,26.5478,2.3467
24,600196.SH,20200226,3.4676,1.62,26.5383,2.3459
25,600196.SH,20200225,5.4187,4.05,27.7403,2.4522
26,600196.SH,20200224,1.6222,1.3,25.3552,2.2413
27,600196.SH,20200221,1.2791,1.04,25.0145,2.2112
28,600196.SH,20200220,1.0675,0.83,24.8536,2.197
29,600196.SH,20200219,1.3209,1.04,24.6927,2.1828
30,600196.SH,20200218,1.3967,1.14,25.1092,2.2196
31,600196.SH,20200217,1.1898,0.93,25.3268,2.2388
32,600196.SH,20200214,1.1688,0.74,25.0429,2.2137
33,600196.SH,20200213,1.3779,0.66,25.289,2.2355
34,600196.SH,20200212,1.224,0.49,25.8001,2.2806
35,600196.SH,20200211,1.1493,0.41,25.7622,2.2773
36,600196.SH,20200210,1.488,0.51,25.8095,2.2815
37,600196.SH,20200207,2.6439,0.98,26.1408,2.3108
38,600196.SH,20200206,3.9809,1.78,26.7087,2.361
39,600196.SH,20200205,3.1257,1.53,26.9169,2.3794
40,600196.SH,20200204,2.634,1.48,25.7433,2.2756
41,600196.SH,20200203,2.2675,1.45,24.2952,2.1476
42,600196.SH,20200123,1.4476,1.03,24.7779,2.1903
43,600196.SH,20200122,1.7173,1.44,25.6108,2.2639
44,600196.SH,20200121,2.1224,2.3,26.3679,2.3308
45,600196.SH,20200120,1.3619,1.7,25.9326,2.2924
46,600196.SH,20200117,1.15,1.43,25.4783,2.2522
47,600196.SH,20200116,0.6774,0.81,25.4783,2.2522
48,600196.SH,20200115,0.6419,0.73,25.2511,2.2321
49,600196.SH,20200114,0.7796,0.89,25.3931,2.2447
50,600196.SH,20200113,0.7556,0.83,25.6202,2.2647
51,600196.SH,20200110,1.1583,1.31,25.5161,2.2555
52,600196.SH,20200109,0.8227,0.86,25.1754,2.2254
53,600196.SH,20200108,0.8789,0.89,24.8915,2.2003
54,600196.SH,20200107,0.7406,0.76,25.4594,2.2505
55,600196.SH,20200106,0.9541,1.01,25.2701,2.2338
56,600196.SH,20200103,1.0158,1.21,25.6486,2.2673
57,600196.SH,20200102,1.1834,1.65,25.5919,2.2622
