,板块代码,交易日期,涨跌额
0,885539.TI,20200331,-23.754
1,885539.TI,20200330,-30.106
2,885539.TI,20200327,-10.126
3,885539.TI,20200326,39.455
4,885539.TI,20200325,64.369
5,885539.TI,20200324,23.08
6,885539.TI,20200323,-54.847
7,885539.TI,20200320,36.235
8,885539.TI,20200319,-20.691
9,885539.TI,20200318,-24.625
10,885539.TI,20200317,-34.965
11,885539.TI,20200316,-46.349
12,885539.TI,20200313,-47.911
13,885539.TI,20200312,-35.141
14,885539.TI,20200311,-1.112
15,885539.TI,20200310,-15.999
16,885539.TI,20200309,-7.413
17,885539.TI,20200306,35.12
18,885539.TI,20200305,22.234
19,885539.TI,20200304,-12.584
20,885539.TI,20200303,28.49
21,885539.TI,20200302,54.009
22,885539.TI,20200228,-32.877
23,885539.TI,20200227,-4.921
24,885539.TI,20200226,-74.271
25,885539.TI,20200225,38.683
26,885539.TI,20200224,54.588
27,885539.TI,20200221,18.293
28,885539.TI,20200220,13.402
29,885539.TI,20200219,-40.976
30,885539.TI,20200218,23.679
31,885539.TI,20200217,63.297
32,885539.TI,20200214,-6.306
33,885539.TI,20200213,-25.009
34,885539.TI,20200212,22.833
35,885539.TI,20200211,-23.888
36,885539.TI,20200210,-29.622
37,885539.TI,20200207,-15.841
38,885539.TI,20200206,60.955
39,885539.TI,20200205,78.604
40,885539.TI,20200204,64.122
41,885539.TI,20200203,-17.04
42,885539.TI,20200123,-13.262
43,885539.TI,20200122,-7.879
44,885539.TI,20200121,29.522
45,885539.TI,20200120,48.33
46,885539.TI,20200117,7.471
47,885539.TI,20200116,1.517
48,885539.TI,20200115,-2.888
49,885539.TI,20200114,-2.413
50,885539.TI,20200113,14.56
51,885539.TI,20200110,2.463
52,885539.TI,20200109,39.292
53,885539.TI,20200108,-21.049
54,885539.TI,20200107,24.981
55,885539.TI,20200106,4.121
56,885539.TI,20200103,0.275
57,885539.TI,20200102,20.172
